airport,lat,long,year,total_passengers
San Francisco International Airport[15],37.622451999999996,-122.38407160781362,2018,27794154
John F. Kennedy International Airport[14],40.642947899999996,-73.7793733748521,2018,30541459
Denver International Airport,39.8606676,-104.68536732610298,2018,31363573
Dallas/Fort Worth International Airport,32.89651945,-97.0465220537124,2018,32800721
O'Hare International Airport,41.977984899999996,-87.90917993412859,2018,39874879
Los Angeles International Airport,33.94216754999999,-118.42139298414197,2018,42626783
Hartsfield-Jackson International Airport,33.63779875,-84.42927118585675,2018,51866464
Dallas Love Field,32.84524055,-96.84732187569065,2019,8408457
Nashville International Airport,36.11958985,-86.68308703291842,2019,9132344
Portland International Airport,45.587132600000004,-122.59277984939183,2019,9797408
Salt Lake City International Airport,40.790066100000004,-111.97989846185591,2019,10081781
Tampa International Airport,27.9791649,-82.5349276153517,2019,10978756
Ronald Reagan Washington National Airport,38.851289449999996,-77.03968893913375,2019,11595454
Washington Dulles International Airport,38.95226625,-77.45342297783296,2019,11884117
San Diego International Airport,32.73336075,-117.19224641277626,2019,12648692
Philadelphia International Airport,39.875018,-75.23521278969667,2019,12840841
Baltimore/Washington International Airport,39.1747196,-76.67075505810189,2019,13284687
LaGuardia Airport[18],40.7757145,-73.87336398511545,2019,15393601
St. Louis Lambert International Airport,38.749571950000004,-90.37014071044965,2019,16006389
Fort Lauderdale–Hollywood International Airport,26.072017000000002,-80.15099673135214,2019,17950989
Detroit Metropolitan Airport,42.205699100000004,-83.35297537621658,2019,18143040
Minneapolis–Saint Paul International Airport,44.878019050000006,-93.2209280537696,2019,19192917
Logan International Airport,42.3630236,-71.01340798670637,2019,20699377
Miami International Airport,25.7949789,-80.28672341095405,2019,21421031
George Bush Intercontinental Airport,29.9841416,-95.33298595614491,2019,21905309
Phoenix Sky Harbor International Airport,33.43290795,-112.00942180184659,2019,22433552
Newark Liberty International Airport[16],40.68906405,-74.17725485035348,2019,23160763
Charlotte Douglas International Airport,35.21074145,-80.9457435226013,2019,24199688
Orlando International Airport,28.412903550000003,-81.30944309752753,2019,24562271
McCarran International Airport,36.0861034,-115.16111989849915,2019,24728361
Seattle–Tacoma International Airport,47.4475673,-122.3080158569515,2019,25001762
San Francisco International Airport[15],37.622451999999996,-122.38407160781362,2019,27779230
John F. Kennedy International Airport[14],40.642947899999996,-73.7793733748521,2019,31036655
Denver International Airport,39.8606676,-104.68536732610298,2019,33592945
Dallas/Fort Worth International Airport,32.89651945,-97.0465220537124,2019,35778573
O'Hare International Airport,41.977984899999996,-87.90917993412859,2019,40871223
Los Angeles International Airport,33.94216754999999,-118.42139298414197,2019,42939104
Hartsfield-Jackson International Airport,33.63779875,-84.42927118585675,2019,53505795
Portland International Airport,45.587132600000004,-122.59277984939183,2020,7084543
Ronald Reagan Washington National Airport,38.851289449999996,-77.03968893913375,2020,7574966
Dallas Love Field,32.84524055,-96.84732187569065,2020,7684653
LaGuardia Airport[18],40.7757145,-73.87336398511545,2020,8245192
Nashville International Airport,36.11958985,-86.68308703291842,2020,8284570
Washington Dulles International Airport,38.95226625,-77.45342297783296,2020,8333460
Salt Lake City International Airport,40.790066100000004,-111.97989846185591,2020,8853948
San Diego International Airport,32.73336075,-117.19224641277626,2020,8991533
Tampa International Airport,27.9791649,-82.5349276153517,2020,10238151
Baltimore/Washington International Airport,39.1747196,-76.67075505810189,2020,11204511
St. Louis Lambert International Airport,38.749571950000004,-90.37014071044965,2020,11865006
Philadelphia International Airport,39.875018,-75.23521278969667,2020,12559026
Logan International Airport,42.3630236,-71.01340798670637,2020,12618128
Detroit Metropolitan Airport,42.205699100000004,-83.35297537621658,2020,14105007
Minneapolis–Saint Paul International Airport,44.878019050000006,-93.2209280537696,2020,14851289
Newark Liberty International Airport[16],40.68906405,-74.17725485035348,2020,15892892
San Francisco International Airport[15],37.622451999999996,-122.38407160781362,2020,16409625
Fort Lauderdale–Hollywood International Airport,26.072017000000002,-80.15099673135214,2020,16484132
John F. Kennedy International Airport[14],40.642947899999996,-73.7793733748521,2020,16630642
George Bush Intercontinental Airport,29.9841416,-95.33298595614491,2020,18213571
Miami International Airport,25.7949789,-80.28672341095405,2020,18663858
Seattle–Tacoma International Airport,47.4475673,-122.3080158569515,2020,20061507
Orlando International Airport,28.412903550000003,-81.30944309752753,2020,21617803
Phoenix Sky Harbor International Airport,33.43290795,-112.00942180184659,2020,21978708
McCarran International Airport,36.0861034,-115.16111989849915,2020,22201479
Charlotte Douglas International Airport,35.21074145,-80.9457435226013,2020,27205082
Los Angeles International Airport,33.94216754999999,-118.42139298414197,2020,28779527
O'Hare International Airport,41.977984899999996,-87.90917993412859,2020,30860251
Denver International Airport,39.8606676,-104.68536732610298,2020,33741129
Dallas/Fort Worth International Airport,32.89651945,-97.0465220537124,2020,39364990
Hartsfield-Jackson International Airport,33.63779875,-84.42927118585675,2020,42918685
